,avgcpu,stdavgcpu,labelsavgcpu,avgmem,stdavgmem,labelsavgmem
86,0.8239545822143555,0.047042444348335266,0.810418462990469,0.807626485824585,0.04582766816020012,0.8130969035136602
87,0.8123770952224731,0.04902546480298042,0.7773564416280819,0.7975694537162781,0.047165464609861374,0.7838137442160167
88,0.786605715751648,0.04859842360019684,0.8013912564456919,0.8155971765518188,0.047134872525930405,0.8048283553326137
89,0.8054275512695312,0.04698022082448006,0.7873174498597083,0.8050746321678162,0.04530425742268562,0.7789950496007738
90,0.7776052355766296,0.05271598696708679,0.7978688760280889,0.7701964974403381,0.049260202795267105,0.8166227238831825
91,0.7914003133773804,0.050533320754766464,0.7701991176502262,0.7965582013130188,0.0478108786046505,0.801665406925518
92,0.7825555205345154,0.04941445216536522,0.7920930960229152,0.7710057497024536,0.04597201943397522,0.7830484953373897
93,0.7886417508125305,0.04860318452119827,0.8110990039877063,0.8087459206581116,0.04656989872455597,0.780030148598994
94,0.7675392031669617,0.049168240278959274,0.8237743277342034,0.787839412689209,0.046385958790779114,0.8107198232922723
95,0.7886989116668701,0.05132417008280754,0.8309672065899772,0.7744996547698975,0.04756547138094902,0.8129238138984438
96,0.7984917759895325,0.05111372843384743,0.8273116886872555,0.770536482334137,0.046991534531116486,0.8019555733316839
97,0.80560702085495,0.04947436600923538,0.8178223475312661,0.7988077402114868,0.04659368470311165,0.8142139327459934
98,0.8156188726425171,0.047915298491716385,0.8257993659239485,0.7990342974662781,0.04528725892305374,0.8310280899916376
99,0.8151109218597412,0.04720230773091316,0.8018668369493634,0.7898948788642883,0.04427006468176842,0.8201292751342173
100,0.8075742125511169,0.04689530283212662,0.7920874277054614,0.8009827733039856,0.04425393044948578,0.8140569431964093
101,0.8138926029205322,0.046481553465127945,0.7641866107067469,0.8167061805725098,0.04447874054312706,0.808703926242099
102,0.7951511740684509,0.047904111444950104,0.7414658298434932,0.804167628288269,0.04525887966156006,0.8027061459392182
103,0.7869631052017212,0.04973297193646431,0.7379135155582052,0.8002241253852844,0.046632103621959686,0.803405140962739
104,0.7625012397766113,0.0520235113799572,0.7177199814731431,0.7929743528366089,0.04830390587449074,0.7905865081902816
105,0.742643415927887,0.054210495203733444,0.6890332342598043,0.7902164459228516,0.04996941238641739,0.7602448824233492
106,0.7387377619743347,0.05167842283844948,0.6917869926714731,0.7959169745445251,0.04778920114040375,0.7719184100111751
107,0.7230358123779297,0.053521692752838135,0.7281016170657509,0.781968355178833,0.0488770566880703,0.795345842309124
108,0.7035145163536072,0.06143020838499069,0.6972453769165555,0.751192569732666,0.05431490018963814,0.7952231136831651
109,0.7008535861968994,0.0567786805331707,0.7110019160074473,0.7704346776008606,0.05062084272503853,0.7838830078854238
110,0.7247859239578247,0.0551922582089901,0.7225626939197615,0.7894300818443298,0.050422199070453644,0.7859856115996493
111,0.6999460458755493,0.05421087145805359,0.7231037218004427,0.7829939723014832,0.04916799068450928,0.7773050415679248
112,0.7102037668228149,0.05402909964323044,0.6939171713289699,0.7765176296234131,0.04872804135084152,0.7743675418192866
113,0.718320369720459,0.05374487489461899,0.7351784735150341,0.7759212851524353,0.04822005331516266,0.7701812237145149
114,0.7177711725234985,0.05192245915532112,0.7162292573171768,0.7674710154533386,0.046311281621456146,0.766887071074478
115,0.6929250359535217,0.0551312118768692,0.7318227471068631,0.7605882883071899,0.048708681017160416,0.7669321742738231
116,0.7291151881217957,0.055885687470436096,0.7220553980831482,0.7611390352249146,0.04906946048140526,0.7763729686965939
117,0.7098539471626282,0.05367042124271393,0.6692275023145747,0.7557154893875122,0.04690068960189819,0.7764529463236389
118,0.7235791683197021,0.053438592702150345,0.6491161533525357,0.759362518787384,0.046770479530096054,0.7564711534743132
119,0.7166956663131714,0.05237289145588875,0.6715820541648371,0.7645191550254822,0.04606666415929794,0.7585595237921874
120,0.672623872756958,0.05916580930352211,0.6539746116883719,0.7595491409301758,0.05151473730802536,0.7557910820122586
121,0.6629396080970764,0.06511703878641129,0.620992131588003,0.7459129691123962,0.055948346853256226,0.7738844223816335
122,0.6743229627609253,0.06139729171991348,0.6260082079176074,0.7532948851585388,0.05279221385717392,0.757619230166032
123,0.6589187979698181,0.05863531306385994,0.6079494012995971,0.749742329120636,0.05035019293427467,0.7285517804320913
124,0.6348661184310913,0.06049998104572296,0.597296603101482,0.7662472128868103,0.05237305164337158,0.7405345332491122
125,0.6379249691963196,0.05824034661054611,0.6414868934930914,0.7526661157608032,0.050523702055215836,0.7465252685885453
126,0.6227163672447205,0.06333981454372406,0.6458895976785691,0.7200431823730469,0.05362996831536293,0.7403128352824555
127,0.6116002798080444,0.0608009435236454,0.6479714745611921,0.7359139323234558,0.0518396720290184,0.7394002034415568
128,0.6434381008148193,0.060561653226614,0.6610122892773166,0.7391095757484436,0.05211511254310608,0.7345168263700899
129,0.6444209814071655,0.05860060825943947,0.6318982251413606,0.7293147444725037,0.05003996193408966,0.6906683521483301
130,0.6443617939949036,0.05743784084916115,0.6897932985380849,0.7306562662124634,0.04901367053389549,0.6805424649551792
131,0.657277524471283,0.05730108171701431,0.6781480616904866,0.7246940732002258,0.04858596995472908,0.6901004253840433
132,0.633510947227478,0.06522880494594574,0.6710569105497007,0.6764822602272034,0.05350962653756142,0.7150436141370831
133,0.6825180053710938,0.06858865171670914,0.6836624176185128,0.6761380434036255,0.05500885844230652,0.6990452231565287
134,0.665241003036499,0.06325806677341461,0.7426570304388947,0.6846244931221008,0.051269616931676865,0.7084878606858012
135,0.6622610092163086,0.061980150640010834,0.7556587465284911,0.7086661458015442,0.0515146441757679,0.7333210155620695
136,0.6781516075134277,0.05899814888834953,0.7385586315519262,0.6963009238243103,0.049015261232852936,0.7590744734746471
137,0.723229169845581,0.06433357298374176,0.7220673044432858,0.6974166035652161,0.05303213745355606,0.7422777636237181
138,0.7252301573753357,0.06103027984499931,0.6936550330758912,0.7172611355781555,0.05120629817247391,0.6964227183404592
139,0.7142539024353027,0.0598190575838089,0.7253405591775296,0.7392004728317261,0.05097780376672745,0.6479438608543093
140,0.7072985172271729,0.061501141637563705,0.7301968125529542,0.7262499928474426,0.05182426795363426,0.6953952060604882
141,0.6916728019714355,0.07177683711051941,0.7136217812145985,0.6829959750175476,0.05833030119538307,0.6983078194458381
142,0.7207304239273071,0.07521159201860428,0.7418888121066048,0.6453683972358704,0.059152986854314804,0.738215560664123
143,0.7057716846466064,0.06995393335819244,0.7293494820793455,0.693629801273346,0.05629579722881317,0.7339744358619398
144,0.7049494981765747,0.06544949859380722,0.733433782162611,0.6941994428634644,0.05327047407627106,0.7179062817102935
145,0.7201879024505615,0.06368862837553024,0.7514395770767411,0.7328698635101318,0.05405788496136665,0.7153706565384406
146,0.7181078195571899,0.06045922264456749,0.7421565545287335,0.7211374044418335,0.05094069242477417,0.7524101395971736
147,0.7206437587738037,0.06093376874923706,0.7479964732683305,0.7090842127799988,0.05068894848227501,0.7822488197055568
148,0.7353118062019348,0.06073097884654999,0.7628514027053849,0.7055388689041138,0.05009334906935692,0.7633626394114899
149,0.7223815321922302,0.05934271216392517,0.7416312614965147,0.7361645698547363,0.05024602264165878,0.7690640188060005
150,0.7265565395355225,0.058119870722293854,0.7563433124008124,0.7631194591522217,0.050588514655828476,0.7805921439469885
151,0.7437266111373901,0.056103870272636414,0.7553397395078475,0.7488232851028442,0.04817251116037369,0.7647363663805016
152,0.7262744903564453,0.056462906301021576,0.7732692296483089,0.7514247894287109,0.04816345125436783,0.7660629945669108
153,0.7370163798332214,0.05496654286980629,0.7710369362819406,0.7650287747383118,0.04740023612976074,0.7612664191481544
154,0.741752028465271,0.05334644019603729,0.7725438792256177,0.7498437166213989,0.04527724161744118,0.7516300350179614
155,0.7552082538604736,0.0547543540596962,0.7670739231486859,0.7509304285049438,0.046196337789297104,0.7582420171335849
156,0.7541030645370483,0.05305787920951843,0.7852931535969881,0.7465276122093201,0.0444340780377388,0.7717089773081676
157,0.758037269115448,0.05260214954614639,0.7962650871504601,0.7395257353782654,0.043702345341444016,0.7827876569296137
158,0.7540308833122253,0.05194563418626785,0.7596801457798333,0.7466571927070618,0.043439581990242004,0.7599251351468408
